uid,start_day,location_x,location_y,num_reviews,r1_cnt,r2_cnt,r3_cnt,r4_cnt,r5_cnt
0,35,5.3401970378675765,4.416271003073217,295,29,74,119,54,19
1,326,9.785286157391631,13.066994348647983,191,92,3,5,8,83
2,389,5.259049918184035,5.631389513917,167,132,11,3,1,20
3,334,7.5698845770547605,3.5796728595097047,189,30,34,52,39,34
4,608,7.2607563625858695,7.397966532321569,120,89,11,3,2,15
5,694,3.5271784696429966,7.670016417790497,96,21,0,2,12,61
6,530,6.936541235973124,1.372142015865896,142,125,11,6,0,0
7,137,9.171473910369446,8.666036996278356,254,13,54,112,64,11
8,168,8.939092042679265,11.825327939205517,258,54,55,52,44,53
9,862,0.5187565729128341,2.1867185718314,49,25,1,0,3,20
10,831,1.7188709805916014,14.01488405063567,49,13,2,2,0,32
11,386,5.306062802988228,0.4615661793505904,188,25,62,52,41,8
12,743,1.7537569940900133,7.013174018734711,75,44,2,1,3,25
13,77,8.06534072988273,2.294964794407614,300,66,56,60,64,54
14,41,5.855106914550751,12.710074344910684,291,2,18,68,112,91
15,362,2.9207324975393045,1.616488626146238,194,86,5,4,13,86
16,260,5.867073637429985,7.89952984360912,229,12,46,101,57,13
17,100,4.15910137993687,10.555833208714485,269,30,63,78,64,34
18,686,1.5786701895465083,1.5939625151579873,89,81,6,2,0,0
19,274,2.278134166710255,7.457478562890349,204,64,77,45,14,4
20,586,4.784628866584939,5.803165419651171,117,10,21,43,29,14
21,862,0.32128228951051274,6.590758555264093,47,39,3,0,1,4
22,192,9.858784013233189,6.540156573715569,248,148,15,5,6,74
23,557,7.072590042849844,6.749681788421737,157,91,6,5,2,53
24,846,2.946943763189822,2.0678338276670583,42,2,9,16,15,0
25,742,9.060166318331383,6.105678108687767,76,17,24,22,12,1
26,721,7.751063170763905,3.045806581759432,75,9,0,0,5,61
27,772,8.513826199613051,13.998063601751866,76,18,22,12,12,12
28,313,1.4521821295941706,10.035275984165308,225,4,16,54,92,59
29,174,9.330720475483329,13.887332864249007,253,27,70,72,57,27
30,607,7.166887729874052,3.465473742639507,129,75,8,2,6,38
31,251,5.164450686920812,6.952826275914451,220,42,69,72,35,2
32,130,7.951716001289755,14.805204161840013,259,121,6,4,12,116
33,841,6.770376190930989,8.017584880910096,51,12,12,17,7,3
34,337,3.6109232585469098,14.985193014860343,190,20,49,62,37,22
35,6,9.17668757532575,5.351036622473552,298,13,44,93,94,54
36,0,7.9238194777563296,1.1656085658311581,286,2,29,65,93,97
37,879,2.108869453067097,6.717188025451741,35,0,2,8,20,5
38,432,9.504760373062961,7.245246793638645,158,28,29,30,43,28
39,453,0.42745189908328984,5.381000296167917,166,3,16,40,55,52
40,406,4.647161916992671,14.947836744510598,171,25,44,64,33,5
41,112,1.3370283754737589,12.99659545274086,286,70,62,53,49,52
42,760,1.757240016013133,1.5076830577792073,74,34,2,0,4,34
43,122,8.363678790869079,2.802468590832974,271,2,10,74,105,80
44,238,5.304213457594216,14.094773435670119,229,48,94,52,25,10
45,667,6.098976467514765,12.200473529101759,95,11,17,25,20,22
46,178,3.434206195637537,4.524339094125195,250,4,14,68,92,72
47,811,6.109448392648915,3.403087521538465,61,12,19,17,11,2
48,257,3.570953457481585,11.454024090462283,232,10,40,71,65,46
49,850,3.9068889475870905,14.554590843684364,45,0,4,16,16,9
50,57,2.962997544424794,10.213161427209869,297,64,64,54,57,58
51,121,6.208416730275477,8.51512231913642,264,50,54,52,56,52
52,813,9.922293267492424,9.557520499906019,55,8,9,20,10,8
53,164,1.6835409152154102,13.812322046331339,251,37,46,69,69,30
54,234,8.245094037273127,1.5969597021535809,240,48,48,41,52,51
55,697,0.045110613267206334,6.780978178836876,82,0,4,15,32,31
56,507,4.722223424848103,2.5591790149208418,142,32,50,36,18,6
57,39,7.0842726118761545,7.772540014015438,263,35,71,77,51,29
58,472,1.9635490414855872,5.694248838209039,150,9,18,29,52,42
59,544,4.035476944935629,0.7056742190339282,129,5,2,2,7,113
60,281,1.6404236871349986,10.230883801195949,211,38,34,47,53,39
61,156,9.722731990647983,2.8081893567291356,245,121,13,1,8,102
62,785,2.2008598907128407,0.692068416891341,67,54,6,4,0,3
63,673,7.80069665906451,6.265338505356025,96,45,4,2,2,43
64,156,1.7583752250635232,0.48836851251539914,250,1,14,56,89,90
65,618,3.7182802771524304,8.554433051433383,117,4,11,33,39,30
66,297,7.681513335653401,13.424652484948142,223,60,4,3,13,143
67,222,2.8033525722908594,10.007345535767888,235,7,1,4,16,207
68,373,6.29008314261796,1.611056846721799,180,159,16,3,0,2
69,614,0.8016386879840143,12.402444809250524,125,34,27,33,13,18
70,6,0.6334643748036395,5.5422397678931175,284,7,24,77,100,76
71,63,8.812065446295001,0.8523409431609913,294,59,78,46,53,58
72,589,5.919412400375839,9.250035635434218,125,32,30,20,24,19
73,578,9.557984185039112,10.85698865265581,130,35,25,19,24,27
74,579,8.827347938014697,7.636656466423001,126,17,23,43,34,9
75,727,1.1331725566925632,12.180768929523209,82,54,9,0,4,15
76,136,8.195757608938298,12.274998195604379,253,31,62,93,54,13
77,499,0.5501221443244109,8.839292105031285,150,11,42,56,27,14
78,251,0.6133936215354219,7.663158858474411,231,46,51,59,34,41
79,536,0.9815122630277506,0.07003683472433464,131,2,9,36,52,32
80,20,8.20488321642764,10.939893367089322,311,18,74,119,84,16
81,533,6.63877457672781,13.702212905095987,148,6,10,41,54,37
82,84,5.280401634069723,13.283872382917965,263,30,68,102,50,13
83,730,0.15978036789534356,8.844160397075191,98,87,10,1,0,0
84,500,1.992428630766524,1.1540278446127235,145,24,29,30,33,29
85,43,9.999353326515255,9.393014276241692,295,101,9,8,13,164
86,76,8.119154513729445,1.3675840383496451,294,272,14,5,2,1
